phase,csv_file,source_table_type,source_column_order,source_column,target_entity,target_field,import_treatment,notes
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_SCHOOL_DIVISIONS.csv,school_divisions,1,Division ID,import_source_rows,original_record_id,preserve_and_index,Use with phase/file/row for idempotent re-imports.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_SCHOOL_DIVISIONS.csv,school_divisions,2,Division name,organizations/relationship_staging,division_name,resolve_or_stage,Resolve by canonical name/alias; unresolved values enter review.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_SCHOOL_DIVISIONS.csv,school_divisions,3,Division type,organizations,division_type,map,Normalize into the target field while preserving the original value in import_source_rows.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_SCHOOL_DIVISIONS.csv,school_divisions,4,Headquarters city,organizations,headquarters_city,map,Normalize into the target field while preserving the original value in import_source_rows.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_SCHOOL_DIVISIONS.csv,school_divisions,5,Region served,organizations,region_served,map,Normalize into the target field while preserving the original value in import_source_rows.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_SCHOOL_DIVISIONS.csv,school_divisions,6,Number of schools,organizations,of_schools,map,Normalize into the target field while preserving the original value in import_source_rows.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_SCHOOL_DIVISIONS.csv,school_divisions,7,Number of secondary schools,organizations,of_secondary_schools,map,Normalize into the target field while preserving the original value in import_source_rows.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_SCHOOL_DIVISIONS.csv,school_divisions,8,Approximate student population,organizations,approximate_student_population,map,Normalize into the target field while preserving the original value in import_source_rows.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_SCHOOL_DIVISIONS.csv,school_divisions,9,Official website,organizations,official_website,map,Normalize into the target field while preserving the original value in import_source_rows.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_SCHOOL_DIVISIONS.csv,school_divisions,10,Staff directory,people/contact_roles,staff_directory,resolve_or_stage,Create or link contact roles; departmental contacts remain separate from named people.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_SCHOOL_DIVISIONS.csv,school_divisions,11,Trustee directory,people/contact_roles,trustee_directory,resolve_or_stage,Create or link contact roles; departmental contacts remain separate from named people.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_SCHOOL_DIVISIONS.csv,school_divisions,12,Procurement page,approvals/policies,procurement_page,map_with_review,Preserve as approval/policy evidence; do not treat inferred approval as confirmed.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_SCHOOL_DIVISIONS.csv,school_divisions,13,Vendor registration page,approvals/policies,vendor_registration_page,map_with_review,Preserve as approval/policy evidence; do not treat inferred approval as confirmed.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_SCHOOL_DIVISIONS.csv,school_divisions,14,Relevant policies,organizations,relevant_policies,map,Normalize into the target field while preserving the original value in import_source_rows.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_SCHOOL_DIVISIONS.csv,school_divisions,15,Main office email,contact_methods,email_raw,parse_conditionally,Parse only real email addresses; prose/status values remain status text.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_SCHOOL_DIVISIONS.csv,school_divisions,16,Main office phone,contact_methods,phone_raw,parse_conditionally,Parse phone when present; preserve extension and source text.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_SCHOOL_DIVISIONS.csv,school_divisions,17,Director or superintendent,people/contact_roles,director_or_superintendent,resolve_or_stage,Create or link contact roles; departmental contacts remain separate from named people.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_SCHOOL_DIVISIONS.csv,school_divisions,18,Operations contact,people/contact_roles,operations_contact,resolve_or_stage,Create or link contact roles; departmental contacts remain separate from named people.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_SCHOOL_DIVISIONS.csv,school_divisions,19,Procurement contact,approvals/policies,procurement_contact,map_with_review,Preserve as approval/policy evidence; do not treat inferred approval as confirmed.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_SCHOOL_DIVISIONS.csv,school_divisions,20,Communications contact,people/contact_roles,communications_contact,resolve_or_stage,Create or link contact roles; departmental contacts remain separate from named people.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_SCHOOL_DIVISIONS.csv,school_divisions,21,Board chair,people/contact_roles,board_chair,resolve_or_stage,Create or link contact roles; departmental contacts remain separate from named people.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_SCHOOL_DIVISIONS.csv,school_divisions,22,Main approval route,approvals/policies,main_approval_route,map_with_review,Preserve as approval/policy evidence; do not treat inferred approval as confirmed.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_SCHOOL_DIVISIONS.csv,school_divisions,23,Opportunity notes,opportunities,opportunity_notes,map_with_status,"Use for research opportunity and scoring context, not automatic active pipeline entry."
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_SCHOOL_DIVISIONS.csv,school_divisions,24,Source URLs,sources,source_urls,parse_and_preserve,Extract URLs where possible and retain the full source text.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_SCHOOL_DIVISIONS.csv,school_divisions,25,Date verified,sources,date_verified,map,Parse ISO date when present and retain original text.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_HIGH_SCHOOLS.csv,high_schools,1,School ID,import_source_rows,original_record_id,preserve_and_index,Use with phase/file/row for idempotent re-imports.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_HIGH_SCHOOLS.csv,high_schools,2,School name,organizations/relationship_staging,school_name,resolve_or_stage,Resolve by canonical name/alias; unresolved values enter review.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_HIGH_SCHOOLS.csv,high_schools,3,School division,organizations/relationship_staging,,resolve_or_stage,Resolve by canonical name/alias; unresolved values enter review.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_HIGH_SCHOOLS.csv,high_schools,4,School type,organizations,school_type,map,Normalize into the target field while preserving the original value in import_source_rows.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_HIGH_SCHOOLS.csv,high_schools,5,City,organizations,city,map,Normalize into the target field while preserving the original value in import_source_rows.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_HIGH_SCHOOLS.csv,high_schools,6,Address,organizations,address,map,Normalize into the target field while preserving the original value in import_source_rows.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_HIGH_SCHOOLS.csv,high_schools,7,Website,sources,website,parse_and_preserve,Extract URLs where possible and retain the full source text.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_HIGH_SCHOOLS.csv,high_schools,8,General email,contact_methods,email_raw,parse_conditionally,Parse only real email addresses; prose/status values remain status text.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_HIGH_SCHOOLS.csv,high_schools,9,Phone,contact_methods,phone_raw,parse_conditionally,Parse phone when present; preserve extension and source text.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_HIGH_SCHOOLS.csv,high_schools,10,Principal,people/contact_roles,principal,resolve_or_stage,Create or link contact roles; departmental contacts remain separate from named people.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_HIGH_SCHOOLS.csv,high_schools,11,Vice-principal,people/contact_roles,vice_principal,resolve_or_stage,Create or link contact roles; departmental contacts remain separate from named people.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_HIGH_SCHOOLS.csv,high_schools,12,Graduation coordinator,events,graduation_coordinator,map_with_status,Historical/estimated timing remains labelled and cannot become confirmed automatically.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_HIGH_SCHOOLS.csv,high_schools,13,Administrative assistant,people/contact_roles,administrative_assistant,resolve_or_stage,Create or link contact roles; departmental contacts remain separate from named people.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_HIGH_SCHOOLS.csv,high_schools,14,Student leadership contact,people/contact_roles,student_leadership_contact,resolve_or_stage,Create or link contact roles; departmental contacts remain separate from named people.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_HIGH_SCHOOLS.csv,high_schools,15,Approximate enrolment,organizations,approximate_enrolment,map,Normalize into the target field while preserving the original value in import_source_rows.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_HIGH_SCHOOLS.csv,high_schools,16,Approximate graduating class,organizations,approximate_graduating_class,map,Normalize into the target field while preserving the original value in import_source_rows.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_HIGH_SCHOOLS.csv,high_schools,17,Graduation date,events,graduation_date,map_with_status,Historical/estimated timing remains labelled and cannot become confirmed automatically.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_HIGH_SCHOOLS.csv,high_schools,18,Graduation venue,venues/relationship_staging,graduation_venue,resolve_or_stage,Resolve to venue organization where possible; otherwise create unresolved relationship review row.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_HIGH_SCHOOLS.csv,high_schools,19,Graduation page,events,graduation_page,map_with_status,Historical/estimated timing remains labelled and cannot become confirmed automatically.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_HIGH_SCHOOLS.csv,high_schools,20,Opportunity tier,opportunity_scores,original_research_tier,preserve_separately,Do not overwrite with future standardized CRM tier.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_HIGH_SCHOOLS.csv,high_schools,21,Opportunity score,opportunity_scores,original_research_score,preserve_separately,Do not overwrite with future standardized CRM score.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_HIGH_SCHOOLS.csv,high_schools,22,Main approval route,approvals/policies,main_approval_route,map_with_review,Preserve as approval/policy evidence; do not treat inferred approval as confirmed.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_HIGH_SCHOOLS.csv,high_schools,23,Main contact,people/contact_roles,main_contact,resolve_or_stage,Create or link contact roles; departmental contacts remain separate from named people.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_HIGH_SCHOOLS.csv,high_schools,24,Backup contact,people/contact_roles,backup_contact,resolve_or_stage,Create or link contact roles; departmental contacts remain separate from named people.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_HIGH_SCHOOLS.csv,high_schools,25,Notes,organizations,notes,preserve_text,Keep as source-backed notes or recommendation text.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_HIGH_SCHOOLS.csv,high_schools,26,Source URLs,sources,source_urls,parse_and_preserve,Extract URLs where possible and retain the full source text.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_HIGH_SCHOOLS.csv,high_schools,27,Date verified,sources,date_verified,map,Parse ISO date when present and retain original text.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_CONTACTS.csv,contacts,1,Contact ID,import_source_rows,original_record_id,preserve_and_index,Use with phase/file/row for idempotent re-imports.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_CONTACTS.csv,contacts,2,First name,people/contact_roles,first_name,map,Normalize into the target field while preserving the original value in import_source_rows.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_CONTACTS.csv,contacts,3,Last name,people/contact_roles,last_name,map,Normalize into the target field while preserving the original value in import_source_rows.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_CONTACTS.csv,contacts,4,Full name,people/contact_roles,full_name,map,Normalize into the target field while preserving the original value in import_source_rows.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_CONTACTS.csv,contacts,5,Exact title,people/contact_roles,exact_title,map,Normalize into the target field while preserving the original value in import_source_rows.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_CONTACTS.csv,contacts,6,Department,people/contact_roles,department,map,Normalize into the target field while preserving the original value in import_source_rows.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_CONTACTS.csv,contacts,7,Organization,organizations/relationship_staging,organization,resolve_or_stage,Resolve by canonical name/alias; unresolved values enter review.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_CONTACTS.csv,contacts,8,School division,organizations/relationship_staging,,resolve_or_stage,Resolve by canonical name/alias; unresolved values enter review.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_CONTACTS.csv,contacts,9,"School, if applicable",people/contact_roles,school_if_applicable,map,Normalize into the target field while preserving the original value in import_source_rows.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_CONTACTS.csv,contacts,10,City,people/contact_roles,city,map,Normalize into the target field while preserving the original value in import_source_rows.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_CONTACTS.csv,contacts,11,Province,people/contact_roles,province,map,Normalize into the target field while preserving the original value in import_source_rows.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_CONTACTS.csv,contacts,12,Contact category,people/contact_roles,contact_category,resolve_or_stage,Create or link contact roles; departmental contacts remain separate from named people.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_CONTACTS.csv,contacts,13,Operational or influence contact,people/contact_roles,operational_or_influence_contact,resolve_or_stage,Create or link contact roles; departmental contacts remain separate from named people.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_CONTACTS.csv,contacts,14,Scope of influence,people/contact_roles,scope_of_influence,map,Normalize into the target field while preserving the original value in import_source_rows.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_CONTACTS.csv,contacts,15,Why this contact matters to Bloom Boys,people/contact_roles,why_this_contact_matters_to_bloom_boys,resolve_or_stage,Create or link contact roles; departmental contacts remain separate from named people.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_CONTACTS.csv,contacts,16,Best purpose for contacting them,people/contact_roles,best_purpose_for_contacting_them,resolve_or_stage,Create or link contact roles; departmental contacts remain separate from named people.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_CONTACTS.csv,contacts,17,Expected usefulness,people/contact_roles,expected_usefulness,map,Normalize into the target field while preserving the original value in import_source_rows.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_CONTACTS.csv,contacts,18,Expected usefulness explanation,people/contact_roles,expected_usefulness_explanation,map,Normalize into the target field while preserving the original value in import_source_rows.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_CONTACTS.csv,contacts,19,Best outreach channel,people/contact_roles,best_outreach_channel,map,Normalize into the target field while preserving the original value in import_source_rows.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_CONTACTS.csv,contacts,20,Secondary outreach channel,people/contact_roles,secondary_outreach_channel,map,Normalize into the target field while preserving the original value in import_source_rows.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_CONTACTS.csv,contacts,21,Verified public email,contact_methods,email_raw,parse_conditionally,Parse only real email addresses; prose/status values remain status text.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_CONTACTS.csv,contacts,22,Email status,contact_methods,email_status,map_enum,Controls whether a parseable email may be treated as verified.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_CONTACTS.csv,contacts,23,Public phone,contact_methods,phone_raw,parse_conditionally,Parse phone when present; preserve extension and source text.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_CONTACTS.csv,contacts,24,Phone extension,contact_methods,phone_raw,parse_conditionally,Parse phone when present; preserve extension and source text.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_CONTACTS.csv,contacts,25,LinkedIn URL,sources,linkedin_url,parse_and_preserve,Extract URLs where possible and retain the full source text.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_CONTACTS.csv,contacts,26,Official profile URL,sources,official_profile_url,parse_and_preserve,Extract URLs where possible and retain the full source text.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_CONTACTS.csv,contacts,27,Main source URL,sources,main_source_url,parse_and_preserve,Extract URLs where possible and retain the full source text.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_CONTACTS.csv,contacts,28,Date verified,sources,date_verified,map,Parse ISO date when present and retain original text.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_CONTACTS.csv,contacts,29,Confidence level,sources,confidence_level,map_enum,Keep source confidence separate from score confidence.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_CONTACTS.csv,contacts,30,Suggested opening angle,people/contact_roles,suggested_opening_angle,preserve_text,Keep as source-backed notes or recommendation text.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_CONTACTS.csv,contacts,31,Suggested first sentence,people/contact_roles,suggested_first_sentence,preserve_text,Keep as source-backed notes or recommendation text.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_CONTACTS.csv,contacts,32,Who to contact next if they do not respond,people/contact_roles,who_to_contact_next_if_they_do_not_respond,resolve_or_stage,Create or link contact roles; departmental contacts remain separate from named people.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_TRUSTEES.csv,trustees,1,Trustee ID,import_source_rows,original_record_id,preserve_and_index,Use with phase/file/row for idempotent re-imports.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_TRUSTEES.csv,trustees,2,Full name,people/contact_roles,full_name,map,Normalize into the target field while preserving the original value in import_source_rows.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_TRUSTEES.csv,trustees,3,Division,organizations/relationship_staging,division,resolve_or_stage,Resolve by canonical name/alias; unresolved values enter review.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_TRUSTEES.csv,trustees,4,Board role,people/contact_roles,board_role,map,Normalize into the target field while preserving the original value in import_source_rows.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_TRUSTEES.csv,trustees,5,"Subdivision, ward, or area",people/contact_roles,subdivision_ward_or_area,map,Normalize into the target field while preserving the original value in import_source_rows.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_TRUSTEES.csv,trustees,6,Communities represented,people/contact_roles,communities_represented,map,Normalize into the target field while preserving the original value in import_source_rows.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_TRUSTEES.csv,trustees,7,Official email,contact_methods,email_raw,parse_conditionally,Parse only real email addresses; prose/status values remain status text.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_TRUSTEES.csv,trustees,8,Phone,contact_methods,phone_raw,parse_conditionally,Parse phone when present; preserve extension and source text.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_TRUSTEES.csv,trustees,9,LinkedIn,sources,linkedin,parse_and_preserve,Extract URLs where possible and retain the full source text.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_TRUSTEES.csv,trustees,10,Official profile,sources,official_profile,parse_and_preserve,Extract URLs where possible and retain the full source text.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_TRUSTEES.csv,trustees,11,Best reason to contact,people/contact_roles,best_reason_to_contact,resolve_or_stage,Create or link contact roles; departmental contacts remain separate from named people.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_TRUSTEES.csv,trustees,12,Operational authority,people/contact_roles,operational_authority,map,Normalize into the target field while preserving the original value in import_source_rows.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_TRUSTEES.csv,trustees,13,Expected usefulness,people/contact_roles,expected_usefulness,map,Normalize into the target field while preserving the original value in import_source_rows.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_TRUSTEES.csv,trustees,14,Suggested referral request,people/contact_roles,suggested_referral_request,map,Normalize into the target field while preserving the original value in import_source_rows.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_TRUSTEES.csv,trustees,15,Source,sources,source,parse_and_preserve,Extract URLs where possible and retain the full source text.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_TRUSTEES.csv,trustees,16,Date verified,sources,date_verified,map,Parse ISO date when present and retain original text.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_GRADUATIONS_AND_VENUES.csv,k12_events,1,Event ID,import_source_rows,original_record_id,preserve_and_index,Use with phase/file/row for idempotent re-imports.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_GRADUATIONS_AND_VENUES.csv,k12_events,2,School,organizations/relationship_staging,school,resolve_or_stage,Resolve by canonical name/alias; unresolved values enter review.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_GRADUATIONS_AND_VENUES.csv,k12_events,3,Division,organizations/relationship_staging,division,resolve_or_stage,Resolve by canonical name/alias; unresolved values enter review.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_GRADUATIONS_AND_VENUES.csv,k12_events,4,Event name,events,event_name,map_with_status,Historical/estimated timing remains labelled and cannot become confirmed automatically.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_GRADUATIONS_AND_VENUES.csv,k12_events,5,Confirmed or estimated date,events,confirmed_or_estimated_date,map_with_status,Historical/estimated timing remains labelled and cannot become confirmed automatically.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_GRADUATIONS_AND_VENUES.csv,k12_events,6,Ceremony time,events,ceremony_time,map_with_status,Historical/estimated timing remains labelled and cannot become confirmed automatically.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_GRADUATIONS_AND_VENUES.csv,k12_events,7,Venue,venues/relationship_staging,venue,resolve_or_stage,Resolve to venue organization where possible; otherwise create unresolved relationship review row.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_GRADUATIONS_AND_VENUES.csv,k12_events,8,Venue operator,venues/relationship_staging,venue_operator,resolve_or_stage,Resolve to venue organization where possible; otherwise create unresolved relationship review row.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_GRADUATIONS_AND_VENUES.csv,k12_events,9,City,events/opportunities,city,map,Normalize into the target field while preserving the original value in import_source_rows.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_GRADUATIONS_AND_VENUES.csv,k12_events,10,Approximate graduates,opportunities,approximate_graduates,map_with_status,"Use for research opportunity and scoring context, not automatic active pipeline entry."
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_GRADUATIONS_AND_VENUES.csv,k12_events,11,Estimated attendance,opportunities,estimated_attendance,map_with_status,"Use for research opportunity and scoring context, not automatic active pipeline entry."
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_GRADUATIONS_AND_VENUES.csv,k12_events,12,Primary school contact,people/contact_roles,primary_school_contact,resolve_or_stage,Create or link contact roles; departmental contacts remain separate from named people.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_GRADUATIONS_AND_VENUES.csv,k12_events,13,Venue contact,venues/relationship_staging,venue_contact,resolve_or_stage,Resolve to venue organization where possible; otherwise create unresolved relationship review row.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_GRADUATIONS_AND_VENUES.csv,k12_events,14,Existing vendor,approvals/policies,existing_vendor,map_with_review,Preserve as approval/policy evidence; do not treat inferred approval as confirmed.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_GRADUATIONS_AND_VENUES.csv,k12_events,15,Product fit,opportunities,product_fit,map_with_status,"Use for research opportunity and scoring context, not automatic active pipeline entry."
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_GRADUATIONS_AND_VENUES.csv,k12_events,16,Approval authority,approvals/policies,approval_authority,map_with_review,Preserve as approval/policy evidence; do not treat inferred approval as confirmed.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_GRADUATIONS_AND_VENUES.csv,k12_events,17,Opportunity score,opportunity_scores,original_research_score,preserve_separately,Do not overwrite with future standardized CRM score.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_GRADUATIONS_AND_VENUES.csv,k12_events,18,Opportunity tier,opportunity_scores,original_research_tier,preserve_separately,Do not overwrite with future standardized CRM tier.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_GRADUATIONS_AND_VENUES.csv,k12_events,19,Recommended next step,research_gaps,recommended_next_step,map,Create actionable research-gap fields where source file is a research-gap table.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_GRADUATIONS_AND_VENUES.csv,k12_events,20,Source,sources,source,parse_and_preserve,Extract URLs where possible and retain the full source text.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_GRADUATIONS_AND_VENUES.csv,k12_events,21,Date verified,sources,date_verified,map,Parse ISO date when present and retain original text.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_POLICIES_AND_APPROVAL_PROCESSES.csv,policies,1,Organization,organizations/relationship_staging,organization,resolve_or_stage,Resolve by canonical name/alias; unresolved values enter review.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_POLICIES_AND_APPROVAL_PROCESSES.csv,policies,2,Policy type,policies,policy_type,map,Normalize into the target field while preserving the original value in import_source_rows.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_POLICIES_AND_APPROVAL_PROCESSES.csv,policies,3,Policy name,policies,policy_name,map,Normalize into the target field while preserving the original value in import_source_rows.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_POLICIES_AND_APPROVAL_PROCESSES.csv,policies,4,Policy URL,sources,policy_url,parse_and_preserve,Extract URLs where possible and retain the full source text.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_POLICIES_AND_APPROVAL_PROCESSES.csv,policies,5,Relevant summary,policies,relevant_summary,preserve_text,Keep as source-backed notes or recommendation text.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_POLICIES_AND_APPROVAL_PROCESSES.csv,policies,6,Likely impact on Bloom Boys,policies,likely_impact_on_bloom_boys,map,Normalize into the target field while preserving the original value in import_source_rows.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_POLICIES_AND_APPROVAL_PROCESSES.csv,policies,7,Approval likely required from,approvals/policies,approval_likely_required_from,map_with_review,Preserve as approval/policy evidence; do not treat inferred approval as confirmed.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_POLICIES_AND_APPROVAL_PROCESSES.csv,policies,8,Insurance requirement,approvals/policies,insurance_requirement,map_with_review,Preserve as approval/policy evidence; do not treat inferred approval as confirmed.
phase_1,Bloom_Boys_SK_K12_Research_Phase_1_POLICIES_AND_APPROVAL_PROCESSES.csv,policies,9,Branding restriction,approvals/policies,branding_restriction,map_with_review,Preserve as approval/policy evidence; do not treat inferred approval as confirmed.
