phase,phase_label,zip_file,csv_file,workbook_sheet,csv_row_count,csv_column_count,primary_id_column,xlsx_data_row_count,xlsx_column_count,xlsx_headers_match,source_role,xlsx_cross_check_note
phase_1,Phase 1 K-12,Bloom_Boys_SK_K12_Research_Phase_1_CSVs.zip,Bloom_Boys_SK_K12_Research_Phase_1_SCHOOL_DIVISIONS.csv,SCHOOL DIVISIONS,33,25,Division ID,33,25,true,primary_import_source,XLSX sheet row count and headers match CSV.
phase_1,Phase 1 K-12,Bloom_Boys_SK_K12_Research_Phase_1_CSVs.zip,Bloom_Boys_SK_K12_Research_Phase_1_HIGH_SCHOOLS.csv,HIGH SCHOOLS,123,27,School ID,123,27,true,primary_import_source,XLSX sheet row count and headers match CSV.
phase_1,Phase 1 K-12,Bloom_Boys_SK_K12_Research_Phase_1_CSVs.zip,Bloom_Boys_SK_K12_Research_Phase_1_CONTACTS.csv,CONTACTS,445,32,Contact ID,445,32,true,primary_import_source,XLSX sheet row count and headers match CSV.
phase_1,Phase 1 K-12,Bloom_Boys_SK_K12_Research_Phase_1_CSVs.zip,Bloom_Boys_SK_K12_Research_Phase_1_TRUSTEES.csv,TRUSTEES,118,16,Trustee ID,118,16,true,primary_import_source,XLSX sheet row count and headers match CSV.
phase_1,Phase 1 K-12,Bloom_Boys_SK_K12_Research_Phase_1_CSVs.zip,Bloom_Boys_SK_K12_Research_Phase_1_GRADUATIONS_AND_VENUES.csv,GRADUATIONS & VENUES,123,21,Event ID,123,21,true,primary_import_source,XLSX sheet row count and headers match CSV.
phase_1,Phase 1 K-12,Bloom_Boys_SK_K12_Research_Phase_1_CSVs.zip,Bloom_Boys_SK_K12_Research_Phase_1_POLICIES_AND_APPROVAL_PROCESSES.csv,POLICIES & APPROVAL,37,14,Organization,37,14,true,primary_import_source,XLSX sheet row count and headers match CSV.
phase_1,Phase 1 K-12,Bloom_Boys_SK_K12_Research_Phase_1_CSVs.zip,Bloom_Boys_SK_K12_Research_Phase_1_RESEARCH_GAPS.csv,RESEARCH GAPS,168,9,Organization,168,9,true,primary_import_source,XLSX sheet row count and headers match CSV.
phase_1,Phase 1 K-12,Bloom_Boys_SK_K12_Research_Phase_1_CSVs.zip,Bloom_Boys_SK_K12_Research_Phase_1_PRIORITY_OUTREACH_LIST.csv,PRIORITY OUTREACH,100,18,Rank,100,18,true,primary_import_source,XLSX sheet row count and headers match CSV.
phase_1,Phase 1 K-12,Bloom_Boys_SK_K12_Research_Phase_1_CSVs.zip,Bloom_Boys_SK_K12_Research_Phase_1_FINAL_SUMMARY.csv,SUMMARY,19,2,Metric,42,4,false,primary_import_source,Phase 1 workbook SUMMARY tab contains extra formatted rows/columns beyond the two-column CSV summary.
phase_2,"Phase 2 Postsecondary, trades, and ceremonies",Bloom_Boys_SK_Postsecondary_Trades_Phase_2_CSVs.zip,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_INSTITUTIONS.csv,INSTITUTIONS,24,27,Institution ID,24,27,true,primary_import_source,XLSX sheet row count and headers match CSV.
phase_2,"Phase 2 Postsecondary, trades, and ceremonies",Bloom_Boys_SK_Postsecondary_Trades_Phase_2_CSVs.zip,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_CONTACTS.csv,CONTACTS,141,32,Contact ID,141,32,true,primary_import_source,XLSX sheet row count and headers match CSV.
phase_2,"Phase 2 Postsecondary, trades, and ceremonies",Bloom_Boys_SK_Postsecondary_Trades_Phase_2_CSVs.zip,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_CONVOCATIONS_AND_CEREMONIES.csv,CONVOCATIONS,44,24,Event ID,44,24,true,primary_import_source,XLSX sheet row count and headers match CSV.
phase_2,"Phase 2 Postsecondary, trades, and ceremonies",Bloom_Boys_SK_Postsecondary_Trades_Phase_2_CSVs.zip,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_VENUES.csv,VENUES,17,21,Venue ID,17,21,true,primary_import_source,XLSX sheet row count and headers match CSV.
phase_2,"Phase 2 Postsecondary, trades, and ceremonies",Bloom_Boys_SK_Postsecondary_Trades_Phase_2_CSVs.zip,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_STUDENT_ORGANIZATIONS.csv,STUDENT ORGS,13,18,Organization ID,13,18,true,primary_import_source,XLSX sheet row count and headers match CSV.
phase_2,"Phase 2 Postsecondary, trades, and ceremonies",Bloom_Boys_SK_Postsecondary_Trades_Phase_2_CSVs.zip,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_TRADES_AND_PROFESSIONAL_BODIES.csv,TRADES & PROF,20,20,Organization ID,20,20,true,primary_import_source,XLSX sheet row count and headers match CSV.
phase_2,"Phase 2 Postsecondary, trades, and ceremonies",Bloom_Boys_SK_Postsecondary_Trades_Phase_2_CSVs.zip,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_PROCUREMENT_AND_POLICIES.csv,PROCUREMENT,17,15,Organization,17,15,true,primary_import_source,XLSX sheet row count and headers match CSV.
phase_2,"Phase 2 Postsecondary, trades, and ceremonies",Bloom_Boys_SK_Postsecondary_Trades_Phase_2_CSVs.zip,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_SENIOR_INFLUENCERS.csv,SENIOR INFLUENCERS,25,15,Name,25,15,true,primary_import_source,XLSX sheet row count and headers match CSV.
phase_2,"Phase 2 Postsecondary, trades, and ceremonies",Bloom_Boys_SK_Postsecondary_Trades_Phase_2_CSVs.zip,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_RESEARCH_GAPS.csv,RESEARCH GAPS,32,9,Organization,32,9,true,primary_import_source,XLSX sheet row count and headers match CSV.
phase_2,"Phase 2 Postsecondary, trades, and ceremonies",Bloom_Boys_SK_Postsecondary_Trades_Phase_2_CSVs.zip,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_PRIORITY_OUTREACH_LIST.csv,PRIORITY OUTREACH,100,19,Rank,100,19,true,primary_import_source,XLSX sheet row count and headers match CSV.
phase_2,"Phase 2 Postsecondary, trades, and ceremonies",Bloom_Boys_SK_Postsecondary_Trades_Phase_2_CSVs.zip,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_PHASE_1_CONNECTIONS.csv,PHASE 1 CONNECTIONS,20,11,Phase 1 school or division,20,11,true,primary_import_source,XLSX sheet row count and headers match CSV.
phase_2,"Phase 2 Postsecondary, trades, and ceremonies",Bloom_Boys_SK_Postsecondary_Trades_Phase_2_CSVs.zip,Bloom_Boys_SK_Postsecondary_Trades_Phase_2_FINAL_SUMMARY.csv,SUMMARY,19,2,Metric,19,2,true,primary_import_source,XLSX sheet row count and headers match CSV.
