Organization,Policy type,Policy name,Policy URL,Relevant summary,Likely effect on Bloom Boys,Approval authority,Vendor registration,Procurement required,Insurance requirement,Branding restriction,Retail restriction,Exclusive agreement,Confidence level,Date verified
University of Saskatchewan,Procurement,Enterprise Procurement / Service Catalogue,https://servicecatalogue.usask.ca/procurement/index.php,"Official resources cover sourcing, contracting and procurement support.",Vendor setup or contract review may be required after Convocation interest.,Enterprise Procurement plus business owner,Process requires confirmation,Likely for institutional purchasing; concession route may differ,Request event/contract limits,USask marks require approval,Official flower/frame channels already exist,Possible event-specific incumbent/exclusivity; terms not public,High,2026-06-26
University of Regina,Procurement,"Vendors, Suppliers and Tendering",https://www.uregina.ca/supply-management-services/vendors.html,"Supply Management manages competitive tenders, contracts and purchase orders.",Formal procurement may apply depending on structure/value.,Supply Management plus Convocation,Public vendor route exists; exact step is arrangement-specific,Possible; threshold must be confirmed,Request university contract limits,U of R logo requires permission,Follett may influence official merchandise,Build-a-Grad regalia confirmed; no flower exclusivity identified,High,2026-06-26
Saskatchewan Polytechnic,Retail/convocation,Convocation Gifts,https://saskpolytech.ca/student-services/student-life/convocation/gifts.aspx,Campus Store is present with fresh flowers and commemorative merchandise.,Independent competing stand is unlikely; supplier/white-label route is strongest.,Campus Store and Convocation,No public onboarding form found,May apply to supply contract,Venue-specific insurance,Official marks require approval,Campus Store controls visible retail,High incumbent risk; exact exclusivity contract not public,High,2026-06-26
SIIT,Retail/advancement,Graduation Frame Ordering,https://siit.ca/grad-2026/,2026 page routes custom-frame orders to Advancement.,Propose extension of existing preorder workflow.,SIIT Advancement / Graduation,No public vendor registration,Unknown,SIIT and Prairieland requirements,SIIT/cultural designs require approval,Existing frame process is internal,No flower exclusivity found,High,2026-06-26
First Nations University of Canada,Retail/convocation,Graduation Products,https://www.fnuniv.ca/academic/registrars-office/graduation-and-convocation/,"Official page promotes frames, flowers and grad T-shirts without naming the operator.",Complement current offer and confirm incumbent rights.,FNUniv Convocation plus U of R/venue,No public registration,Unknown,Institution and venue requirements,Marks and cultural designs need approval,Existing product offer may limit competition,Possible incumbent; terms not public,High,2026-06-26
Carlton Trail College,Graduation policy,Graduation and End-of-Program Celebrations Policy,https://www.carltontrailcollege.com/wp-content/uploads/2025/12/5.5.2-Graduation-and-End-of-Program-Celebrations-Policy.pdf,Formal college-run process identifies academic leadership and presidential approval.,Clear organizer route; vendor terms still need direct confirmation.,Academic Directors / President / organizer,No public event-vendor form,Unknown,Request venue requirements,College marks require approval,No public restriction found,No incumbent identified,High,2026-06-26
Conexus Arts Centre,Facility rule,Outside Food and Beverage FAQ,https://conexusartscentre.ca/faqs/,Outside food/beverage is prohibited; non-food retail is not clearly addressed.,"Flowers are non-food, but written event-sales approval is required.",Venue event management plus client,Event-specific approval,Client-dependent,Request certificate limits,Client marks require approval,Non-food retail terms unknown,Food/beverage exclusivity confirmed; merchandise unknown,High,2026-06-26
TCU Place,Procurement/facility research,Public policy route,https://tcuplace.com/planners/,Planner resources establish assigned-event-manager control over setup and facility logistics.,"Do not commit inventory until event owner confirms procurement, insurance and branding.",Event owner plus procurement/venue,Not publicly confirmed,Unknown until confirmation,Must be requested,Institution/client logo approval required,Outside-retail rules not public,No public exclusivity evidence found,Medium,2026-06-26
Merlis Belsher Place,Procurement/facility research,Public policy route,https://merlisbelsherplace.ca/bookings-and-rates-at-merlis-belcher-place/,Booking channel controls rates and operational coordination.,"Do not commit inventory until event owner confirms procurement, insurance and branding.",Event owner plus procurement/venue,Not publicly confirmed,Unknown until confirmation,Must be requested,Institution/client logo approval required,Outside-retail rules not public,No public exclusivity evidence found,Medium,2026-06-26
Prairieland Park,Procurement/facility research,Public policy route,https://prairielandpark.com/contact/,"Official contact routes booking, sponsorship and event requests.","Do not commit inventory until event owner confirms procurement, insurance and branding.",Event owner plus procurement/venue,Not publicly confirmed,Unknown until confirmation,Must be requested,Institution/client logo approval required,Outside-retail rules not public,No public exclusivity evidence found,Medium,2026-06-26
Government/public institutions,Procurement/facility research,Public policy route,https://sasktenders.ca/,SaskTenders is the provincial public tender platform where required.,"Do not commit inventory until event owner confirms procurement, insurance and branding.",Event owner plus procurement/venue,Not publicly confirmed,Unknown until confirmation,Must be requested,Institution/client logo approval required,Outside-retail rules not public,No public exclusivity evidence found,Medium,2026-06-26
Gabriel Dumont Institute,Procurement/facility research,Public policy route,https://sasktenders.ca/,No event-specific public vendor process was found.,"Do not commit inventory until event owner confirms procurement, insurance and branding.",Event owner plus procurement/venue,Not publicly confirmed,Unknown until confirmation,Must be requested,Institution/client logo approval required,Outside-retail rules not public,No public exclusivity evidence found,Medium,2026-06-26
Great Plains College,Procurement/facility research,Public policy route,https://sasktenders.ca/,No graduation-vendor process was publicly located.,"Do not commit inventory until event owner confirms procurement, insurance and branding.",Event owner plus procurement/venue,Not publicly confirmed,Unknown until confirmation,Must be requested,Institution/client logo approval required,Outside-retail rules not public,No public exclusivity evidence found,Medium,2026-06-26
North West College,Procurement/facility research,Public policy route,https://sasktenders.ca/,No graduation-vendor process was publicly located.,"Do not commit inventory until event owner confirms procurement, insurance and branding.",Event owner plus procurement/venue,Not publicly confirmed,Unknown until confirmation,Must be requested,Institution/client logo approval required,Outside-retail rules not public,No public exclusivity evidence found,Medium,2026-06-26
Northlands College,Procurement/facility research,Public policy route,https://sasktenders.ca/,Tender route exists but event-vendor terms are not public.,"Do not commit inventory until event owner confirms procurement, insurance and branding.",Event owner plus procurement/venue,Not publicly confirmed,Unknown until confirmation,Must be requested,Institution/client logo approval required,Outside-retail rules not public,No public exclusivity evidence found,Medium,2026-06-26
Suncrest College,Procurement/facility research,Public policy route,https://sasktenders.ca/,No graduation-retail process was publicly located.,"Do not commit inventory until event owner confirms procurement, insurance and branding.",Event owner plus procurement/venue,Not publicly confirmed,Unknown until confirmation,Must be requested,Institution/client logo approval required,Outside-retail rules not public,No public exclusivity evidence found,Medium,2026-06-26
Southeast College,Procurement/facility research,Public policy route,https://sasktenders.ca/,Procurement and commercial-activity rules require direct confirmation.,"Do not commit inventory until event owner confirms procurement, insurance and branding.",Event owner plus procurement/venue,Not publicly confirmed,Unknown until confirmation,Must be requested,Institution/client logo approval required,Outside-retail rules not public,No public exclusivity evidence found,Medium,2026-06-26
